_id,venta,producto_variedad,color,talla,sku,cantidad,precio,createdAT,tenant
685310b5fed82d2f95e0f898,685310b5fed82d2f95e0f897,6852ddc311304d6fc7c2701b,Azul,Único,89MMFMOPAZUÚ19,1,176,2024-06-10T18:14:35.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f89a,685310b5fed82d2f95e0f899,6852ddc311304d6fc7c26fc1,Gris,Único,81CEMCOLGRIÚ31,1,108,2024-06-10T13:01:23.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f89b,685310b5fed82d2f95e0f899,6852ddc311304d6fc7c27404,Azul Marino,38,186CANZACAZM347,1,102,2024-06-10T13:01:23.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f89c,685310b5fed82d2f95e0f899,6852ddc311304d6fc7c270ac,Café,Único,103MMFMALCAFÚ89,1,95,2024-06-10T13:01:23.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f89e,685310b5fed82d2f95e0f89d,6852ddc311304d6fc7c27477,Azul Marino,Único,194MMNLONAZMÚ23,1,106,2024-06-10T15:04:16.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8a0,685310b5fed82d2f95e0f89f,6852ddc311304d6fc7c2716b,Negro,Único,124ACNCARNEGÚ63,1,64,2024-06-10T12:48:27.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8a2,685310b5fed82d2f95e0f8a1,6852ddc311304d6fc7c26fba,Blanco,Único,80TECPOWBLAÚ10,1,132,2024-06-10T09:20:49.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8a4,685310b5fed82d2f95e0f8a3,6852ddc311304d6fc7c26e59,Azul,Único,52ACNLONAZUÚ29,1,90,2024-06-10T20:41:00.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8a6,685310b5fed82d2f95e0f8a5,6852ddc311304d6fc7c27174,Rosado,Único,125CEFECOROSÚ66,1,134,2024-06-10T12:10:04.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8a8,685310b5fed82d2f95e0f8a7,6852ddc311304d6fc7c26d39,Café,Único,26CEMECOCAFÚ64,1,111,2024-06-10T17:10:33.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8a9,685310b5fed82d2f95e0f8a7,6852ddc311304d6fc7c26eb1,Azul Marino,Único,57CEMPREAZMÚ26,1,224,2024-06-10T17:10:33.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8ab,685310b5fed82d2f95e0f8aa,6852ddc311304d6fc7c270bb,Negro,L,105RPNGORNEGL28,1,129,2024-06-11T18:51:22.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8ad,685310b5fed82d2f95e0f8ac,6852ddc311304d6fc7c26fde,Rosado,Único,83ACMESTROSÚ58,1,94,2024-06-11T10:10:52.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8af,685310b5fed82d2f95e0f8ae,6852ddc311304d6fc7c26e45,Azul,XXL,49RPNGORAZUX89,1,193,2024-06-11T18:21:55.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8b0,685310b5fed82d2f95e0f8ae,6852ddc311304d6fc7c26d69,Azul Marino,41,32CANSANAZM439,1,157,2024-06-11T18:21:55.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8b2,685310b5fed82d2f95e0f8b1,6852ddc311304d6fc7c27479,Naranja,Único,194MMNLONNARÚ56,1,116,2024-06-11T15:40:37.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8b4,685310b5fed82d2f95e0f8b3,6852ddc311304d6fc7c27218,Naranja,S,143RPNCHANARS89,2,92,2024-06-11T13:52:38.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8b6,685310b5fed82d2f95e0f8b5,6852ddc311304d6fc7c2742d,Gris,Único,188ACFBILGRIÚ46,1,188,2024-06-11T15:16:28.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8b7,685310b5fed82d2f95e0f8b5,6852ddc311304d6fc7c2724b,Naranja,Único,148CENCOINARÚ45,2,136,2024-06-11T15:16:28.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8b9,685310b5fed82d2f95e0f8b8,6852ddc311304d6fc7c274a2,Rojo,Único,199ACFNECROJÚ56,1,126,2024-06-11T13:53:09.000Z,6852dbf5c4a6f8d1a81074f6
