_id,cliente,total,estado,createdAT,tenant
685310b5fed82d2f95e0f897,6852e012ec28a0201afd53ef,176,Procesado,2024-06-10T18:14:35.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f899,6852e013ec28a0201afd5400,305,Procesado,2024-06-10T13:01:23.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f89d,6852e00dec28a0201afd539d,106,Procesado,2024-06-10T15:04:16.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f89f,6852e00cec28a0201afd5383,64,Procesado,2024-06-10T12:48:27.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8a1,6852e00dec28a0201afd5394,132,Procesado,2024-06-10T09:20:49.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8a3,6852e00fec28a0201afd53c0,90,Procesado,2024-06-10T20:41:00.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8a5,6852e00dec28a0201afd5395,134,Procesado,2024-06-10T12:10:04.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8a7,6852e017ec28a0201afd5443,335,Procesado,2024-06-10T17:10:33.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8aa,6852e013ec28a0201afd540a,129,Procesado,2024-06-11T18:51:22.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8ac,6852e014ec28a0201afd5418,94,Procesado,2024-06-11T10:10:52.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8ae,6852e017ec28a0201afd5444,350,Procesado,2024-06-11T18:21:55.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8b1,6852e013ec28a0201afd5406,116,Procesado,2024-06-11T15:40:37.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8b3,6852e00cec28a0201afd5383,184,Procesado,2024-06-11T13:52:38.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8b5,6852e013ec28a0201afd5403,460,Procesado,2024-06-11T15:16:28.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8b8,6852e011ec28a0201afd53df,126,Procesado,2024-06-11T13:53:09.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8ba,6852e00dec28a0201afd539e,246,Procesado,2024-06-11T13:17:08.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8bd,6852e00fec28a0201afd53c0,147,Procesado,2024-06-12T18:46:26.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8bf,6852e012ec28a0201afd53f9,323,Procesado,2024-06-12T13:33:12.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8c2,6852e00eec28a0201afd53a6,59,Procesado,2024-06-12T20:46:47.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8c4,6852e00eec28a0201afd53ad,123,Procesado,2024-06-12T12:29:28.000Z,6852dbf5c4a6f8d1a81074f6
685310b5fed82d2f95e0f8c6,6852e011ec28a0201afd53d7,217,Procesado,2024-06-12T20:15:31.000Z,6852dbf5c4a6f8d1a81074f6
