_id,hxd,color,talla,sku,cantidad,precio,producto,tenant,createdAT,__v
6852ddc311304d6fc7c26c3a,#A52A2A,Café,Único,01CENPERCAFÚ42,-26,0,6852ddc311304d6fc7c26c39,6852dbf5c4a6f8d1a81074f6,2025-04-17T00:12:17.000Z,0
6852ddc311304d6fc7c26c3b,#0000FF,Azul,Único,01CENPERAZUÚ67,-26,0,6852ddc311304d6fc7c26c39,6852dbf5c4a6f8d1a81074f6,2025-04-17T00:12:17.000Z,0
6852ddc311304d6fc7c26c3c,#FFFF00,Amarillo,Único,01CENPERAMAÚ93,-26,0,6852ddc311304d6fc7c26c39,6852dbf5c4a6f8d1a81074f6,2025-04-17T00:12:17.000Z,0
6852ddc311304d6fc7c26c43,#FFC0CB,Rosado,M,02RPMROIROSM32,-26,0,6852ddc311304d6fc7c26c42,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:32:17.000Z,0
6852ddc311304d6fc7c26c44,#FFC0CB,Rosado,XXL,02RPMROIROSX80,-26,0,6852ddc311304d6fc7c26c42,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:32:17.000Z,0
6852ddc311304d6fc7c26c45,#FFC0CB,Rosado,S,02RPMROIROSS68,-26,0,6852ddc311304d6fc7c26c42,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:32:17.000Z,0
6852ddc311304d6fc7c26c46,#FFC0CB,Rosado,L,02RPMROIROSL75,-26,0,6852ddc311304d6fc7c26c42,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:32:17.000Z,0
6852ddc311304d6fc7c26c47,#000080,Azul Marino,S,02RPMROIAZMS18,-26,0,6852ddc311304d6fc7c26c42,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:32:17.000Z,0
6852ddc311304d6fc7c26c48,#000080,Azul Marino,XS,02RPMROIAZMX18,-26,0,6852ddc311304d6fc7c26c42,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:32:17.000Z,0
6852ddc311304d6fc7c26c49,#000080,Azul Marino,XL,02RPMROIAZMX37,-26,0,6852ddc311304d6fc7c26c42,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:32:17.000Z,0
6852ddc311304d6fc7c26c4a,#000000,Negro,XS,02RPMROINEGX20,-26,0,6852ddc311304d6fc7c26c42,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:32:17.000Z,0
6852ddc311304d6fc7c26c4b,#000000,Negro,XXL,02RPMROINEGX58,-26,0,6852ddc311304d6fc7c26c42,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:32:17.000Z,0
6852ddc311304d6fc7c26c4c,#000000,Negro,M,02RPMROINEGM21,-26,0,6852ddc311304d6fc7c26c42,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:32:17.000Z,0
6852ddc311304d6fc7c26c4d,#A52A2A,Café,XL,02RPMROICAFX24,-26,0,6852ddc311304d6fc7c26c42,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:32:17.000Z,0
6852ddc311304d6fc7c26c4e,#A52A2A,Café,XS,02RPMROICAFX31,-26,0,6852ddc311304d6fc7c26c42,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:32:17.000Z,0
6852ddc311304d6fc7c26c4f,#A52A2A,Café,XXL,02RPMROICAFX96,-26,0,6852ddc311304d6fc7c26c42,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:32:17.000Z,0
6852ddc311304d6fc7c26c50,#A52A2A,Café,M,02RPMROICAFM16,-26,0,6852ddc311304d6fc7c26c42,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:32:17.000Z,0
6852ddc311304d6fc7c26c54,#0000FF,Azul,Único,03CENPERAZUÚ74,-26,0,6852ddc311304d6fc7c26c53,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:20:17.000Z,0
6852ddc311304d6fc7c26c5a,#808080,Gris,Único,04MMMMOPGRIÚ37,201,242,6852ddc311304d6fc7c26c59,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:48:17.000Z,0
6852ddc311304d6fc7c26c5b,#800080,Morado,Único,04MMMMOPMORÚ30,182,127,6852ddc311304d6fc7c26c59,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:48:17.000Z,0
6852ddc311304d6fc7c26c5c,#A52A2A,Café,Único,04MMMMOPCAFÚ62,279,176,6852ddc311304d6fc7c26c59,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:48:17.000Z,0
6852ddc311304d6fc7c26c62,#FFC0CB,Rosado,Único,05ACFBOMROSÚ02,103,108,6852ddc311304d6fc7c26c61,6852dbf5c4a6f8d1a81074f6,2025-04-17T01:35:17.000Z,0
6852ddc311304d6fc7c26c63,#FFFF00,Amarillo,Único,05ACFBOMAMAÚ22,92,123,6852ddc311304d6fc7c26c61,6852dbf5c4a6f8d1a81074f6,2025-04-17T01:35:17.000Z,0
6852ddc311304d6fc7c26c64,#FFFFFF,Blanco,Único,05ACFBOMBLAÚ83,63,119,6852ddc311304d6fc7c26c61,6852dbf5c4a6f8d1a81074f6,2025-04-17T01:35:17.000Z,0
6852ddc311304d6fc7c26c67,#000000,Negro,XL,06RPMCHANEGX36,109,139,6852ddc311304d6fc7c26c66,6852dbf5c4a6f8d1a81074f6,2025-04-17T02:57:17.000Z,0
6852ddc311304d6fc7c26c68,#000000,Negro,XXL,06RPMCHANEGX46,32,119,6852ddc311304d6fc7c26c66,6852dbf5c4a6f8d1a81074f6,2025-04-17T02:57:17.000Z,0
6852ddc311304d6fc7c26c69,#000000,Negro,S,06RPMCHANEGS63,105,148,6852ddc311304d6fc7c26c66,6852dbf5c4a6f8d1a81074f6,2025-04-17T02:57:17.000Z,0
6852ddc311304d6fc7c26c6a,#000000,Negro,L,06RPMCHANEGL05,23,143,6852ddc311304d6fc7c26c66,6852dbf5c4a6f8d1a81074f6,2025-04-17T02:57:17.000Z,0
6852ddc311304d6fc7c26c6b,#000000,Negro,M,06RPMCHANEGM25,58,127,6852ddc311304d6fc7c26c66,6852dbf5c4a6f8d1a81074f6,2025-04-17T02:57:17.000Z,0
6852ddc311304d6fc7c26c72,#A52A2A,Café,Único,07MMMMOECAFÚ91,441,196,6852ddc311304d6fc7c26c71,6852dbf5c4a6f8d1a81074f6,2025-04-17T01:19:17.000Z,0
6852ddc311304d6fc7c26c73,#008000,Verde,Único,07MMMMOEVERÚ29,497,155,6852ddc311304d6fc7c26c71,6852dbf5c4a6f8d1a81074f6,2025-04-17T01:19:17.000Z,0
6852ddc311304d6fc7c26c78,#008000,Verde,Único,08MMMBODVERÚ20,96,115,6852ddc311304d6fc7c26c77,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:14:17.000Z,0
6852ddc311304d6fc7c26c7c,#0000FF,Azul,L,09RPNCAMAZUL14,-26,0,6852ddc311304d6fc7c26c7b,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:45:17.000Z,0
6852ddc311304d6fc7c26c7d,#0000FF,Azul,XS,09RPNCAMAZUX01,-26,0,6852ddc311304d6fc7c26c7b,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:45:17.000Z,0
6852ddc311304d6fc7c26c7e,#0000FF,Azul,S,09RPNCAMAZUS94,-26,0,6852ddc311304d6fc7c26c7b,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:45:17.000Z,0
6852ddc311304d6fc7c26c7f,#0000FF,Azul,M,09RPNCAMAZUM47,-26,0,6852ddc311304d6fc7c26c7b,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:45:17.000Z,0
6852ddc311304d6fc7c26c80,#0000FF,Azul,XL,09RPNCAMAZUX25,-26,0,6852ddc311304d6fc7c26c7b,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:45:17.000Z,0
6852ddc311304d6fc7c26c81,#0000FF,Azul,XXL,09RPNCAMAZUX39,-26,0,6852ddc311304d6fc7c26c7b,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:45:17.000Z,0
6852ddc311304d6fc7c26c82,#FFFF00,Amarillo,S,09RPNCAMAMAS56,-26,0,6852ddc311304d6fc7c26c7b,6852dbf5c4a6f8d1a81074f6,2025-04-16T23:45:17.000Z,0
